Title,Zone,Latitude,Longitude,Operator,Post Code,Alternate Title,Total Spaces,Allowed Vehicles,Last Tariff Update,Charge Times,Parking Rate / Hour,Convenience Fee,Remainder Message Fee,Summary Message Fee,Maximum Stay,Extendable Upto,Advance Parking,Location Type,Number of Allowed Vehicle Types
Lower Church Path (Prime),1297,50.79953,-1.08836997,Portsmouth City Council,PO1 1NL,Lower Church Path (Prime)/Central On Street,0,Car,19 December 2012,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Station Street (Prime),1298,50.7989998,-1.09037006,Portsmouth City Council,PO1 1AZ,Station Street (Prime)/Central On Street,3,Car,19 December 2012,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,1 Hour,Up to Maximum stay,No,On street,1
Paradise Street (Prime),1299,50.8006287,-1.08896995,Portsmouth City Council,PO1 1NB,Paradise Street (Prime)/Central On Street,0,Car,19 December 2012,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,1 Hour,Up to Maximum stay,No,On street,1
Slindon Street (Prime),1300,50.7993813,-1.08898997,Portsmouth City Council,PO1 1BE,Slindon Street (Prime)/Central On Street,0,Car,19 December 2012,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,1 Hour,Up to Maximum stay,No,On street,1
Alec Rose Lane and Charles Dickens Street,1301,50.7968292,-1.09098995,Portsmouth City Council,PO12SA,Alec Rose Lane and Charles Dickens Street/Central On Street,103,Car,20 March 2023,All Week,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Anglesea Road,1302,50.7984085,-1.09544003,Portsmouth City Council,PO13DL,Anglesea Road/Central On Street,21,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Arundel Street,1303,50.7995605,-1.08502996,Portsmouth City Council,PO11NT,Arundel Street/Central On Street,107,Car,28 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Burnaby Rd  Cambridge Rd & East St. Georges Rd,1306,50.7951012,-1.09862006,Portsmouth City Council,PO13AE,"Burnaby Rd, Cambridge Rd + East St. Georges Rd/Central On Street",103,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Cambridge Road,1307,50.7944984,-1.09669995,Portsmouth City Council,PO1 2EF,Cambridge Road/Central On Street,28,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Canal Walk,1308,50.7975616,-1.08200002,Portsmouth City Council,PO11LQ,Canal Walk/Central On Street,37,Car,28 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Bishop Crispian Way,1312,50.8002014,-1.09361005,Portsmouth City Council,PO13HG,Bishop Crispian Way/Central On Street,33,Car,20 March 2023,Monday to Saturday,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Exchange Road East,1313,50.7972298,-1.09363997,Portsmouth City Council,PO1,Exchange Road East/Central On Street,6,Car,20 March 2023,All Week,£1.80,10p,10p,10p,1 Day,Forever,No,On street,1
Selbourne Terrace,1314,50.7961998,-1.07644999,Portsmouth City Council,PO15BX,Selbourne Terrace/District On Street,106,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,5 Days,Forever,No,On street,1
Greetham Street,1316,50.7976418,-1.08876002,Portsmouth City Council,PO12BB,Greetham Street/Central On Street,117,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
White Swan Road,1317,50.7965508,-1.0948,Portsmouth City Council,PO1 2DT,White Swan Road/Central On Street,13,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Hampshire Terrace,1318,50.7929916,-1.09598005,Portsmouth City Council,PO1 2PZ,Hampshire Terrace/Central On Street,83,Car,20 March 2023,All Week,£1.80,10p,10p,10p,5 Days,Up to Maximum stay,No,On street,1
High Street  Cosham,1319,50.8423004,-1.06791997,Portsmouth City Council,PO63EG,"High Street, Cosham/District On Street",42,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,10 Hours,Forever,No,On street,1
High Street & Broad Street,1320,50.7907715,-1.10274005,Portsmouth City Council,PO12SX,High Street + Broad Street/Central On Street,60,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
King Henry 1 Street South,1324,50.7972107,-1.09393001,Portsmouth City Council,PO1 2DZ,King Henry 1 Street South/Central On Street,11,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Lake Road,1326,50.8046303,-1.08133996,Portsmouth City Council,PO14DY,Lake Road/Central On Street,20,Car,28 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Landport Terrace,1327,50.7919502,-1.09566998,Portsmouth City Council,PO1 2RG,Landport Terrace/Central On Street,50,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
London Road North End,1328,50.814949,-1.08020997,Portsmouth City Council,PO2 0BH,London Road North End/District On Street,25,Car,20 March 2023,Monday to Saturday 8:00am - 6:00pm,£0.60,10p,10p,10p,7 Days,Up to Maximum stay,No,On street,1
Pier Road  Duisburg Way & Long Curtain Road,1333,50.7876282,-1.09820998,Portsmouth City Council,PO53AA,"Pier Road, Duisburg Way + Long Curtain Road/Seafront On Street",110,Car,20 March 2023,All Week 8:00am - 6:00pm,£2.00,10p,10p,10p,5 Days,Forever,No,On street,1
South Parade  Avenue de Caen  Clarence Parade,1335,50.7827492,-1.08877003,Portsmouth City Council,PO5 2ET,"South Parade, Avenue de Caen, Clarence Parade/Seafront On Street",548,Car,20 March 2023,All Week 8:00am - 6:00pm,£2.00,10p,10p,10p,5 Days,Forever,No,On street,1
Southsea  Jubilee and Kings Terrace,1336,50.7883987,-1.09686005,Portsmouth City Council,PO5 3AP,"Southsea, Jubilee and Kings Terrace/Seafront On Street",93,Car,20 March 2023,All Week 8:00am - 6:00pm,£2.00,10p,10p,10p,5 Days,Forever,No,On street,1
Central Area On Street - Coaches Only,1337,50.7923508,-1.09845996,Portsmouth City Council,PO1 2QQ,Central Area On Street - Coaches Only/Central On Street,96,Coach,19 February 2020,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,5 Days,Forever,No,On street,1
St Michael's Road,1338,50.7955284,-1.09561002,Portsmouth City Council,PO1 2EE,St Michael's Road/Central On Street,6,Car,20 March 2023,All Week,£1.80,10p,10p,10p,5 Days,Up to Maximum stay,No,On street,1
St Pauls Road,1339,50.7945213,-1.09492004,Portsmouth City Council,PO54AG,St Pauls Road/Central On Street,20,Car,20 March 2023,All Week,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
St James Road,1340,50.7942009,-1.09043002,Portsmouth City Council,PO54HX,St James Road/Central On Street,24,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Stanhope Road,1341,50.7991905,-1.09247994,Portsmouth City Council,PO1 1DU,Stanhope Road/Central On Street,9,Car,20 March 2023,All Week,£1.80,10p,10p,10p,1 Day,Up to Maximum stay,No,On street,1
Upper Arundel Street,1342,50.799221,-1.08708,Portsmouth City Council,PO11LA,Upper Arundel Street/Central On Street,10,Car,28 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Victoria Avenue & Spur  Pembroke Rd & Grand Parade,1343,50.7883911,-1.09923995,Portsmouth City Council,PO1 2TF,"Victoria Avenue + Spur, Pembroke Rd + Grand Parade/Seafront On Street",232,Car,20 March 2023,All Week 8:00am - 6:00pm,£2.00,10p,10p,10p,5 Days,Forever,No,On street,1
The Hard,1344,50.7965012,-1.10420001,Portsmouth City Council,PO12EW,The Hard/Central On Street,36,Car,20 March 2023,All Week,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Clarence Esplanade,1345,50.7824898,-1.09624004,Portsmouth City Council,PO53NT,Clarence Esplanade/Seafront On Street,373,"Car, HGV/LGV, Motorcycle",20 March 2023,All Week 8:00am - 6:00pm,£2.00,10p,10p,10p,5 Days,Forever,No,On street,3
Flathouse Road,1347,50.805439,-1.08936,Portsmouth City Council,PO14QS,Flathouse Road/District On Street,40,Car,20 March 2023,All Week,£1.20,10p,10p,10p,5 Days,Up to Maximum stay,No,On street,1
Bridport Street,1348,50.7984505,-1.08650994,Portsmouth City Council,PO11LB,Bridport Street/Central On Street,40,Car,28 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
East Surrey Street,1349,50.7991486,-1.08709002,Portsmouth City Council,PO11AF,East Surrey Street/Central On Street,10,Car,28 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Kingston Crescent,1350,50.8134384,-1.08306003,Portsmouth City Council,PO2 8AB,Kingston Crescent/District On Street,20,Car,20 March 2023,Monday to Saturday 8:00am - 6:00pm,£1.20,10p,10p,10p,7 Days,Up to Maximum stay,No,On street,1
St Georges Square,1353,50.7965584,-1.10318995,Portsmouth City Council,PO13AT,St Georges Square/Central On Street,36,Car,20 March 2023,All Week,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Waltham Street,1354,50.7950096,-1.09407997,Portsmouth City Council,PO5 4BE,Waltham Street/Central On Street,10,Car,20 March 2023,All Week,£1.80,10p,10p,10p,5 Days,Up to Maximum stay,No,On street,1
St Vincent Street,1355,50.7951202,-1.09334004,Portsmouth City Council,PO1 2UP,St Vincent Street/Central On Street,4,Car,20 March 2023,All Week,£1.80,10p,10p,10p,5 Days,Up to Maximum stay,No,On street,1
Southsea and Eastney Esplanade,1356,50.7834702,-1.05562997,Portsmouth City Council,PO53ST,Southsea and Eastney Esplanade/Seafront On Street,496,Car,20 March 2023,All Week 8:00am - 6:00pm,£2.00,10p,10p,10p,5 Days,Forever,No,On street,1
Kings Road,1357,50.7907982,-1.09263003,Portsmouth City Council,PO54DN,Kings Road/Central On Street,54,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,5 Days,Forever,No,On street,1
Melbourne Place,1358,50.7945404,-1.09362996,Portsmouth City Council,PO5 4HT,Melbourne Place/Central On Street,18,Car,20 March 2023,All Week,£1.80,10p,10p,10p,5 Days,Up to Maximum stay,No,On street,1
The Hard Interchange Coach Drop Off,1359,50.7971992,-1.10628998,Portsmouth City Council,PO1 3EB,The Hard Interchange Coach Drop Off/Central On Street,6,"Coach, Minibus",02 September 2013,All Week,£3.50,10p,10p,10p,15 Minutes,Up to Maximum stay,No,On street,2
GA Fratton RVP,1360,50.797699,-1.07690001,Portsmouth City Council,PO1 5AB,GA Fratton RVP/Resident Visitor Permits,2184,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
Guildhall Walk,1362,50.7966003,-1.09276998,Portsmouth City Council,PO1 2DD,Guildhall Walk/Central On Street,20,Car,20 March 2023,All Week 8:00am - 5:00pm,£1.80,10p,10p,10p,9 Hours,Forever,No,On street,1
MB Orchard Road RVP,1363,50.7951698,-1.07428002,Portsmouth City Council,PO4 0AB,MB Orchard Road RVP/Resident Visitor Permits,100,Car,01 June 2020,All Week,£1.15,,10p,10p,1 Day,Forever,No,On street,1
LB Somerstown RVP,1364,50.7927513,-1.08436,Portsmouth City Council,PO5,LB Somerstown RVP/Resident Visitor Permits,1059,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
Elm Grove,1365,50.7891006,-1.08357,Portsmouth City Council,PO5 1LR,Elm Grove/District On Street,100,Car,20 March 2023,Monday to Saturday 8:00am - 6:00pm,Free,10p,10p,10p,10 Hours,Forever,No,On street,1
FG Stamshaw South RVP,1367,50.8170586,-1.08774996,Portsmouth City Council,PO28HA,FG Stamshaw South RVP/Resident Visitor Permits,571,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
Old Market Road Car Park,1369,50.8462906,-1.06496,Portsmouth City Council,PO63DE,Old Market Road Car Park/Central Off Street,50,Car,13 April 2022,All Week 8:00am - 11:00pm,£0.80,10p,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
All Saints Car Park,1370,50.8055992,-1.08643997,Portsmouth City Council,PO14NB,All Saints Car Park/Central Off Street,42,Car,11 April 2022,All Week,£1.60,10p,10p,10p,5 Days,Forever,No,Off street,1
Ashby Place Car Park,1371,50.7842484,-1.08973002,Portsmouth City Council,PO5 3NA,Ashby Place Car Park/Seafront Off Street,131,Car,12 April 2022,Saturday And Sunday,£1.90,10p,10p,10p,5 Days,Up to Maximum stay,No,Off street,1
Broad Street Car Park,1372,50.792099,-1.1085,Portsmouth City Council,PO12JD,Broad Street Car Park/Central Off Street,30,Car,20 April 2022,All Week 8:00am - 8:00pm,£1.60,10p,10p,10p,5 Days,Forever,No,Off street,1
Southsea Common Car Park,1375,50.7848396,-1.09420002,Portsmouth City Council,PO53LJ,Southsea Common Car Park/Seafront Off Street,68,Car,13 April 2022,All Week 8:00am - 8:00pm,£1.90,10p,10p,10p,5 Days,Forever,No,Off street,1
Clarence Pier Car Park,1376,50.7872696,-1.10259998,Portsmouth City Council,PO53AP,Clarence Pier Car Park/Seafront Off Street,165,Car,11 April 2022,All Week,£1.90,10p,10p,10p,5 Days,Forever,No,Off street,1
Clarence Street Car Park,1377,50.8036003,-1.09015,Portsmouth City Council,PO14AY,Clarence Street Car Park/Central Off Street,254,Car,11 April 2022,All Week 7:00am - 8:00pm,£1.10,10p,10p,10p,5 Days,Forever,No,Off street,1
D-Day Car Park,1378,50.7797508,-1.09060001,Portsmouth City Council,PO53NT,D-Day Car Park/Seafront Off Street,120,"Car, HGV/LGV, Coach, Motorcycle",11 April 2022,All Week 8:00am - 8:00pm,£1.90,10p,10p,10p,5 Days,Forever,No,Off street,4
Guildhall Walk Car Park,1379,50.7961884,-1.09215999,Portsmouth City Council,PO1 2BX,Guildhall Walk Car Park/Central Off Street,58,Car,12 April 2022,All Week,£1.60,10p,10p,10p,5 Days,Forever,No,Off street,1
The Harbour Car Park,1381,50.7983017,-1.10564005,Portsmouth City Council,PO13HA,The Harbour Car Park/Central Off Street,62,Car,11 April 2022,All Week,£1.60,10p,10p,10p,5 Days,Forever,No,Off street,1
Isambard Brunel Car Park,1382,50.7965202,-1.08943999,Portsmouth City Council,PO1 2BX,Isambard Brunel Car Park/Central Off Street,291,Car,11 April 2022,All Week,£1.60,10p,10p,10p,5 Days,Up to Maximum stay,No,Off street,1
London Road  Cosham Car Park,1383,50.8471184,-1.06684005,Portsmouth City Council,PO63EE,"London Road, Cosham Car Park/District Off Street",33,Car,13 April 2022,All Week 8:00am - 8:00pm,£1.10,10p,10p,10p,5 Days,Forever,No,Off street,1
Canoe Lake Car Park,1384,50.7803993,-1.06962001,Portsmouth City Council,PO40ST,Canoe Lake Car Park/Seafront Off Street,146,Car,13 April 2022,All Week 8:00am - 8:00pm,£1.90,10p,10p,10p,5 Days,Forever,No,Off street,1
Podium Car Park,1386,50.7969398,-1.09072006,Portsmouth City Council,PO1 2DR,Podium Car Park/Central Off Street,69,Car,05 April 2022,Monday to Friday,PRIVATE USE ONLY,10p,10p,10p,2 Days,Up to Maximum stay,No,Off street,1
